item_id;name;category;price;old_price;sellable_online;link;other_colors;short_description;designer;depth;height;width;price_usd;category_total
29123958;MINNEN;Beds (208);395,0;SR 445;TRUE;https://www.ikea.com/sa/en/p/minnen-ext-bed-frame-with-slatted-bed-base-white-s29123958/;No;Ext bed frame with slatted bed base, 80x200 cm;IKEA of Sweden/Tina Christensen;NA;NA;85;106,650;208
49278341;BRIMNES;Beds (208);895,0;SR 925;TRUE;https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/;No;Bed frame w storage and headboard, 90x200 cm;IKEA of Sweden/K Hagberg/M Hagberg;54;110;96;241,650;208
50461230;SMÅGÖRA;Beds (208);595,0;No old price;TRUE;https://www.ikea.com/sa/en/p/smagoera-cot-white-50461230/;No;Cot, 60x120 cm;IKEA of Sweden;NA;79;66;160,650;208
89326463;PLATSA;Beds (208);2111,0;SR 2,205;TRUE;https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-drawers-white-fonnes-s89326463/;No;Bed frame with 4 drawers, 140x244x163 cm;Ola Wihlborg/IKEA of Sweden;40;43;140;569,970;208
50468953;VATTVIKEN;Beds (208);995,0;No old price;TRUE;https://www.ikea.com/sa/en/p/vattviken-armchair-bed-lerhaga-light-grey-50468953/;No;Armchair-bed;504.689.53 Small and easy-to-place chair-bed which can easily be converted into a single bed.The storage space under the seat has room for bedlinen or other things.Just as nice to look at from all sides – perfect to place in the middle of the room or use as a room divider.The cushion cover is easy to keep clean and fresh, as you can take it off and machine-wash it.Easy to assemble.1 cushion included.;83;86;92;268,650;208
69326609;SLÄKT;Beds (208);540,0;No old price;FALSE;https://www.ikea.com/sa/en/p/slaekt-ext-bed-frame-with-slatted-bed-base-white-birch-s69326609/;No;Ext bed frame with slatted bed base, 80x200 cm;IKEA of Sweden/Ebba Strandmark;NA;NA;91;145,800;208
59099136;BRIMNES;Beds (208);795,0;No old price;TRUE;https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-s59099136/;Yes;Bed frame w storage and headboard, 140x200 cm;K Hagberg/M Hagberg/IKEA of Sweden;NA;111;146;214,650;208
40395245;NEIDEN;Beds (208);99,0;No old price;TRUE;https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-40395245/;No;Bed frame, 90x200 cm;Jon Karlsson;NA;NA;94;26,730;208
69277307;LEIRVIK;Beds (208);1195,0;No old price;TRUE;https://www.ikea.com/sa/en/p/leirvik-bed-frame-white-loenset-s69277307/;Yes;Bed frame, 180x200 cm;IKEA of Sweden/Carina Bengs;NA;NA;188;322,650;208
70395239;NEIDEN;Beds (208);199,0;No old price;TRUE;https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-70395239/;No;Bed frame, 140x200 cm;Jon Karlsson;NA;NA;144;53,730;208
89931560;HEMNES;Beds (208);675,0;SR 895;TRUE;https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/;Yes;Bed frame, 140x200 cm;IKEA of Sweden/Carina Bengs;NA;NA;154;182,250;208
30446373;SLATTUM;Beds (208);595,0;No old price;TRUE;https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-30446373/;Yes;Upholstered bed frame, 140x200 cm;David Wahl;NA;NA;144;160,650;208
